Word Frequencies:
ay: 1570
mightst: 64
seat: 132
forbear: 118
straying: 10
lead: 326
riot: 30
forced: 66
twofold: 12
hers: 110
tempting: 12
said: 842
dearly: 92
wailing: 16
nearly: 16
ye: 654
because: 400
knowst: 166
sake: 380
suffring: 10
approve: 56
gain: 144
losing: 48
found: 480
lay: 598
heres: 444
flattery: 50
wink: 66
unrespected: 4
sleep: 554
dreams: 94
darkly: 16
dark: 186
directed: 26
shadows: 72
clear: 150
clearer: 10
unseeing: 4
imperfect: 14
heavy: 372
dull: 240
flesh: 284
injurious: 34
distance: 66
space: 70
limits: 18
remote: 26
matter: 730
foot: 362
farthest: 28
nimble: 50
jump: 30
sea: 486
land: 426
soon: 322
kills: 62
leap: 62
large: 150
lengths: 4
miles: 42
water: 284
attend: 252
receiving: 16
elements: 52
slow: 114
badges: 8
purging: 6
fire: 610
wherever: 16
presentabsent: 2
swift: 148
motion: 170
slide: 10
quicker: 4
embassy: 28
four: 304
sinks: 12
down: 1370
melancholy: 154
until: 160
lifes: 54
composition: 32
recured: 2
messengers: 74
returned: 60
assured: 80
health: 220
recounting: 4
told: 502
straight: 334
divide: 56
pictures: 22
bar: 68
freedom: 74
right: 766
closet: 52
pierced: 14
crystal: 32
defendant: 10
says: 510
appearance: 26
side: 376
impanelled: 2
quest: 22
tenants: 12
verdict: 14
determined: 32
moiety: 36
betwixt: 112
league: 74
took: 348
unto: 944
famished: 14
sighs: 136
smother: 20
picture: 104
feast: 220
banquet: 74
bids: 140
guest: 82
share: 66
either: 370
present: 522
move: 210
awakes: 10
careful: 50
trifle: 54
truest: 28
thrust: 116
falsehood: 76
sure: 636
wards: 12
jewels: 66
trifles: 34
greatest: 106
care: 468
prey: 98
locked: 24
chest: 26
feel: 230
closure: 8
whence: 178
thence: 204
proves: 34
thievish: 14
prize: 102
defects: 16
cast: 220
utmost: 40
called: 256
advised: 54
respects: 38
strangely: 56
pass: 300
scarcely: 38
greet: 90
reasons: 140
settled: 40
gravity: 30
ensconce: 8
desert: 100
uprear: 2
guard: 270
allege: 4
cause: 726
seek: 494
travels: 16
teach: 238
case: 222
repose: 56
measured: 14
beast: 158
plods: 2
dully: 6
weight: 94
instinct: 32
wretch: 116
rider: 24
speed: 502
spur: 74
provoke: 38
sometimes: 150
anger: 134
thrusts: 10
answers: 48
groan: 82
sharp: 162
spurring: 8
onward: 8
offence: 234
bearer: 14
posting: 8
need: 380
extremity: 60
mounted: 38
winged: 30
horse: 476
pace: 68
perfectst: 4
neigh: 16
fiery: 98
race: 34
jade: 28
going: 234
went: 220
wilfulslow: 2
towards: 152
run: 418
key: 60
uplocked: 2
survey: 30
blunting: 4
point: 296
seldom: 70
feasts: 38
solemn: 92
set: 1016
stones: 132
thinly: 6
placed: 44
captain: 366
carcanet: 4
wardrobe: 12
robe: 46
special: 76
instant: 126
specialblest: 2
unfolding: 6
imprisoned: 18
worthiness: 32
lacked: 18
whereof: 172
millions: 20
strange: 532
tend: 54
describe: 4
poorly: 16
imitated: 4
helens: 20
cheek: 180
grecian: 78
tires: 12
foison: 12
external: 14
deem: 20
odour: 12
blooms: 2
dye: 16
perfumed: 12
tincture: 4
hang: 360
wantonly: 2
breath: 484
discloses: 2
virtue: 410
unwooed: 2
odours: 20
distills: 2
marble: 34
gilded: 42
monuments: 16
powerful: 42
unswept: 6
stone: 126
besmeared: 4
sluttish: 10
statues: 8
overturn: 2
broils: 24
root: 98
masonry: 4
mars: 106
sword: 722
wars: 304
quick: 216
record: 50
alloblivious: 2
enmity: 42
room: 852
ending: 30
arise: 82
renew: 26
force: 246
edge: 90
blunter: 2
appetite: 88
today: 340
feeding: 34
allayed: 4
tomorrow: 502
sharpened: 2
former: 132
fill: 148
hungry: 50
fulness: 10
spirit: 546
perpetual: 50
dulness: 6
interim: 24
ocean: 66
shore: 140
banks: 38
blest: 88
welcome: 754
thrice: 138
wished: 56
slave: 268
services: 70
require: 48
worldwithoutend: 4
watch: 386
bitterness: 22
bid: 708
servant: 896
adieu: 208
jealous: 100
affairs: 138
suppose: 68
fool: 960
thinks: 134
god: 1604
control: 34
crave: 102
vassal: 42
bound: 382
suffer: 174
beck: 10
patience: 416
tame: 82
